#{"t_start": 1776079954.582204, "env_id": "highway-v0"}
r,l,t
9.959012,11,16312.737484
11.394645,13,16329.212101
8.95321,10,16341.869397
6.196644,8,16352.003716
10.956394,13,16368.430937
15.959012,17,16389.932911
13.555534,15,16408.961006
9.275353,10,16421.53234
16.358338,18,16444.090189
7.957162,9,16455.482329
9.052973,12,16470.62393
2.398565,4,16475.740042
8.955575,10,16488.464844
11.197011,13,16504.910008
7.959012,9,16516.371363
21.044219,23,16545.579342
4.554792,6,16553.191636
3.197675,4,16558.333786
9.251536,11,16572.212483
10.117591,11,16585.978181
2.959217,4,16591.143832
5.756084,7,16600.065024
3.996581,5,16606.374089
4.074285,5,16612.749476
9.945299,11,16626.637613
3.957201,5,16633.032308
1.985166,3,16636.853402
4.052269,5,16643.216105
2.955271,4,16648.312323
8.959012,10,16661.029563
7.159517,9,16672.520685
10.754345,12,16687.538336
8.75212,10,16700.088668
13.194251,15,16719.028897
11.253802,13,16735.371037
7.191898,8,16745.548762
8.206902,10,16758.152178
3.560252,5,16764.552197
5.955059,7,16773.449876
13.604362,16,16793.552273
5.920463,7,16802.375266
14.552715,16,16822.572584
3.955611,5,16828.904983
3.754707,5,16835.267838
12.19218,14,16852.848705
7.200555,9,16864.250922
15.957162,17,16885.521038
3.119459,4,16890.639709
5.957164,7,16899.534271
6.957162,8,16909.550538
15.75646,17,16931.107148
3.204545,5,16937.463772
4.363618,6,16945.048879
16.95161,18,16967.798309
2.955271,4,16972.962292
2.131758,4,16978.096532
3.587781,5,16984.42112
3.955092,5,16990.82799
4.959018,6,16998.466121
15.948413,18,17020.982861
6.593892,8,17031.141815
5.957172,7,17040.052561
13.356607,15,17058.955784
10.758308,12,17074.07846
10.883261,13,17090.567766
2.757291,4,17095.745029
5.275349,6,17103.491026
6.082166,8,17113.656684
9.957162,11,17127.568758
8.363372,10,17140.120348
5.957163,7,17149.091414
4.556633,6,17156.655148
1.960209,3,17160.482697
6.277194,7,17169.470796
12.953459,14,17186.940584
12.765956,14,17204.589995
10.955312,12,17219.833889
4.117481,6,17227.472181
14.662068,17,17248.941054
7.98759,9,17260.277822
29.748507,30,17298.197223
16.152085,18,17321.142167
12.847733,14,17338.757092
5.954721,8,17348.892407
10.557209,12,17364.007364
6.277194,7,17372.931515
15.564731,18,17395.575299
3.957201,5,17401.894515
9.487958,13,17418.280305
6.161527,8,17428.374679
11.794132,13,17444.806749
5.957172,7,17453.624154
4.957172,6,17461.338671
6.158899,8,17471.464203
5.959013,7,17480.294407
4.197653,5,17486.629025
13.264243,14,17504.515844
19.985116,22,17532.289418
8.9553,10,17544.976559
9.197649,10,17557.594924
11.959012,13,17573.913502
14.402947,16,17594.200463
17.559432,19,17618.045251
14.951095,16,17638.308785
9.957162,11,17652.350165
1.958373,3,17656.233893
10.845379,12,17671.37894
4.951896,6,17679.01659
16.197649,17,17700.384011
7.952922,9,17711.736982
12.007002,16,17731.946227
19.951071,21,17758.294451
19.15615,21,17784.760236
6.591185,8,17794.957772
25.76491,30,17832.734999
6.19368,7,17841.638641
27.758983,30,17879.601305
7.358935,9,17891.072082
12.873652,14,17908.665911
10.645186,12,17923.944025
14.955321,16,17944.177477
8.364437,11,17958.184595
2.403409,4,17963.325745
16.959012,18,17986.266295
22.756711,24,18016.582471
12.191834,13,18033.103307
10.892027,14,18050.762752
22.267666,23,18079.988754
5.952932,7,18088.997817
5.757924,7,18097.851379
2.959217,4,18102.958682
5.756074,7,18111.878436
5.756074,7,18120.703019
3.959047,5,18127.109216
18.922432,22,18154.681504
3.957201,5,18161.000663
15.9647,18,18183.732937
9.277194,10,18196.339233
4.959018,6,18204.041536
5.957164,7,18212.915895
10.554587,12,18228.136693
5.98759,7,18236.982173
6.557212,8,18247.031027
2.959217,4,18252.132711
13.054113,14,18269.961391
6.957171,8,18280.194175
26.05244,30,18318.277185
10.052267,11,18332.209077
9.877627,11,18346.067167
17.769681,22,18374.104013
2.983295,4,18379.278442
25.108039,26,18412.088523
11.953206,13,18428.853686
9.083971,11,18442.765132
5.197649,6,18450.423593
14.556428,16,18470.757683
3.758123,5,18477.12492
29.132851,30,18515.28788
24.290004,29,18552.089293
23.986784,30,18589.894066
22.111224,23,18619.063487
4.955332,6,18626.754425
25.945244,27,18660.678484
11.194569,13,18677.065174
13.795064,15,18696.037794
3.277229,4,18701.18718
5.959013,7,18710.007848
4.957169,6,18717.615257
13.951072,15,18736.593707
4.074559,5,18743.020019
16.753595,19,18767.044721
18.192358,19,18791.276727
12.729541,16,18811.491623
6.758465,8,18821.698076
10.959012,12,18836.824328
7.648439,9,18848.130389
15.985468,18,18870.855519
8.794132,10,18883.476481
15.944231,17,18904.966318
7.55721,9,18916.360787
8.720822,10,18929.119193
11.957162,13,18945.663167
20.881668,25,18977.600027
12.996931,14,18995.353394
9.118104,11,19009.343081
11.556428,13,19025.675075
21.746024,23,19054.760011
4.765962,6,19062.451199
4.959018,6,19070.166783
26.525165,30,19108.275035
16.191558,17,19129.902975
17.445216,19,19154.143633
6.591713,8,19164.094149
6.362456,8,19174.169379
2.989438,4,19179.284711
19.566968,22,19207.098753
4.794138,6,19214.726075
10.765831,13,19231.352817
15.514916,22,19259.065579
7.957166,9,19270.52752
15.954387,19,19294.699583
8.64662,10,19307.478358
3.959047,5,19313.833857
29.544002,30,19351.658977
12.680638,14,19369.338072
11.790167,13,19385.845991
4.96418,7,19394.739086
10.757918,12,19574.084109
28.562887,30,19611.962024
6.758337,8,19622.14061
13.957166,15,19641.085465
9.951631,11,19655.007833
12.799929,17,19676.688926
20.223159,22,19704.650965
20.11312,21,19731.59099
8.995122,11,19745.509402
9.957162,11,19759.435021
9.957171,11,19773.283181
9.959012,11,19787.077909
6.561291,8,19797.143054
10.959012,12,19812.328825
7.351244,9,19823.931719
3.959047,5,19830.248674
14.955324,16,19850.517607
11.121556,12,19865.751116
6.834319,9,19877.170944
11.757918,13,19893.632971
12.855483,14,19911.422316
3.959047,5,19917.751774
4.756104,6,19925.468265
3.05015,4,19930.61578
6.955316,8,19940.71866
24.419091,30,19978.59971
16.879467,18,20001.528251
18.946079,20,20026.863428
20.89021,25,20058.36536
7.764102,9,20069.725752
12.164774,15,20088.56729
3.959047,5,20094.985244
12.958909,16,20115.149941
11.753954,13,20131.705699
10.148196,12,20146.783396
20.56472,24,20177.165715
5.764111,7,20186.050474
14.354909,16,20206.338825
3.955092,5,20212.699585
23.032638,30,20250.926464
23.74206,25,20282.380166
7.957162,9,20293.792394
8.760149,10,20306.542198
6.959012,8,20316.799662
13.559049,15,20335.664222
13.882153,15,20354.595189
15.152908,17,20375.967748
3.957206,5,20382.476243
10.277194,11,20396.268367
27.869517,30,20434.306241
18.916626,20,20459.700045
14.550888,16,20479.791115
12.193684,13,20496.20702
10.98944,12,20511.3998
12.01329,14,20528.967957
15.544523,17,20550.648694
10.78925,12,20565.773147
4.757953,6,20573.359904
6.123406,7,20582.341517
4.2772,5,20588.675539
4.957168,6,20596.253654
10.957162,12,20611.489525
4.959018,6,20619.139914
20.553227,22,20646.761337
11.987594,13,20663.18703
8.756462,10,20675.758945
